make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km,log_motor_power,log_avg_speed
Volvo,XC40 Recharge,Single Motor,65.7,170,2000,92,418,18.1,22.3,2,67.1,5.14166355650266,2.9496883350525844
Tata,Tiago EV,Medium Range,17.9,45,1073,90,250,28.5,16.5,1,110.5,3.828641396489095,3.3843902633457743
Mahindra,XUV.e8,Long Range,51.0,175,2050,92,450,16.3,33.4,2,320.4,5.170483995038151,2.8507065015037334
Mini,Countryman E,ALL4,57.2,230,2055,93,462,12.3,23.4,0,432.9,5.442417710521793,2.5877640352277083
Mercedes,EQS,580 4MATIC,99.4,385,2710,95,857,14.1,20.8,1,524.6,5.955837369464831,2.714694743820879
BYD,eMAX 7,Premium,65.3,150,2135,91,530,19.1,27.9,1,57.7,5.017279836814924,3.0007198150650303
BYD,Seal,Performance,75.1,390,2150,94,580,17.6,34.8,2,185.3,5.968707559985366,2.9231615807191558
Mercedes,EQB,350 4MATIC,59.1,215,2175,92,423,17.4,47.0,2,105.6,5.375278407684165,2.91235066461494
Kia,EV6,Long Range RWD,71.6,168,1980,93,708,38.3,26.4,2,80.7,5.1298987149230735,3.6712245188752153
Volvo,XC40 Recharge,Single Motor,59.5,170,2000,92,418,19.1,21.3,0,364.8,5.14166355650266,3.0007198150650303
Mahindra,XUV400,EL Pro,34.9,110,1580,90,456,19.9,28.3,2,216.3,4.709530201312334,3.039749158970765
Porsche,Taycan,4S,67.3,360,2295,94,512,22.6,30.6,1,116.8,5.8888779583328805,3.1612467120315646
Mini,Countryman E,ALL4,60.3,230,2055,93,462,34.9,33.2,1,264.7,5.442417710521793,3.580737295494233
MG,Cloud EV,Long Range,48.5,135,1700,91,460,12.1,27.4,1,246.6,4.912654885736052,2.5726122302071057
BMW,i4,eDrive40,73.9,250,2125,94,590,51.3,19.1,1,395.5,5.5254529391317835,3.9569963710708773
Smart,#1 Pro+,Standard,61.3,200,1820,92,440,20.3,32.8,1,241.1,5.303304908059076,3.0587070727153796
Audi,Q8 e-tron,55 quattro,85.9,300,2620,93,582,22.9,12.5,0,188.8,5.707110264748875,3.173878458937465
MG,Comet EV,Standard,15.2,30,840,89,230,20.9,37.7,1,218.5,3.4339872044851463,3.086486636822455
Tata,Nexon EV,Long Range,39.8,105,1610,91,465,31.9,23.4,1,408.3,4.663439094112067,3.493472657771326
BYD,Atto 3,Extended Range,53.4,150,1750,92,521,26.6,15.1,2,124.1,5.017279836814924,3.3178157727231046
MG,ZS EV,Exclusive,43.1,130,1620,91,461,34.5,13.1,2,67.7,4.875197323201151,3.56953269648137
Hyundai,Ioniq 5,Long Range AWD,71.7,225,2100,93,631,97.0,45.0,0,452.3,5.420534999272286,4.584967478670572
Mercedes,EQS SUV,580 4MATIC,96.2,400,2880,94,660,31.9,23.0,0,481.9,5.993961427306569,3.493472657771326
BMW,i4,eDrive40,73.2,250,2125,94,590,30.2,21.5,0,84.5,5.5254529391317835,3.4404180948154366
Citroen,eC3,Feel,26.7,57,1200,89,320,92.8,15.0,0,180.7,4.060443010546419,4.541164856012179
MG,Windsor EV,Long Range,34.6,100,1490,91,331,16.7,19.1,2,217.2,4.61512051684126,2.8735646395797834
Tata,Nexon EV,Long Range,38.1,105,1610,91,465,17.0,35.7,1,427.5,4.663439094112067,2.8903717578961645
Jaguar,I-PACE,EV400,73.3,294,2208,92,470,27.2,24.9,2,254.5,5.68697535633982,3.339321977944068
Audi,e-tron,55 quattro,75.6,300,2595,92,484,13.7,41.6,0,146.7,5.707110264748875,2.6878474937846906
BMW,i4,eDrive40,76.6,250,2125,94,590,25.0,37.5,1,105.2,5.5254529391317835,3.258096538021482
BYD,Seal,Performance,71.9,390,2150,94,580,75.6,25.5,0,522.1,5.968707559985366,4.338597076746545
Tata,Nexon EV,Medium Range,28.8,105,1560,91,325,31.4,21.2,2,32.5,4.663439094112067,3.4781584227982836
Maruti Suzuki,e Vitara,Long Range,59.4,144,1710,93,500,18.5,32.3,2,95.8,4.976733742420574,2.970414465569701
Mercedes,EQS SUV,580 4MATIC,95.8,400,2880,94,660,26.6,31.7,0,395.3,5.993961427306569,3.3178157727231046
Mahindra,BE 6,Long Range,56.4,175,1850,93,556,27.9,13.8,2,265.2,5.170483995038151,3.3638415951183864
BMW,iX1,xDrive30,60.2,230,2080,93,440,35.7,20.8,2,123.0,5.442417710521793,3.6027767550605247
Tata,Curvv EV,Long Range,50.9,150,1780,92,585,15.6,26.0,1,427.9,5.017279836814924,2.8094026953624973
Tata,Punch EV,Long Range,33.8,90,1355,91,421,28.8,20.7,0,210.9,4.51085950651685,3.3945083935113587
Mercedes,EQA,250+,57.9,140,1960,92,528,28.8,32.3,1,501.6,4.948759890378168,3.3945083935113587
BYD,e6,GL,68.9,70,2380,88,415,23.0,22.9,2,347.3,4.2626798770413155,3.1780538303479458
Porsche,Taycan,4S,77.5,360,2295,94,512,33.0,23.8,1,122.0,5.8888779583328805,3.5263605246161616
Smart,#1 Pro+,Standard,59.4,200,1820,92,440,14.7,28.9,2,142.8,5.303304908059076,2.7536607123542622
Mahindra,XEV 9e,Long Range,54.8,175,1900,93,542,15.9,26.4,2,299.3,5.170483995038151,2.827313621929028
Maruti Suzuki,e Vitara,Medium Range,46.2,106,1620,93,400,25.9,17.0,0,87.1,4.672828834461906,3.292126286607793
Citroen,eC3,Shine,25.8,57,1215,89,320,28.0,27.9,2,157.9,4.060443010546419,3.367295829986474
Tata,Nexon EV,Prime LR,36.7,105,1620,91,465,12.0,27.8,1,151.4,4.663439094112067,2.5649493574615367
Mahindra,XUV.e8,Long Range,57.5,175,2050,92,450,18.2,34.3,2,386.3,5.170483995038151,2.9549102790337356
MG,Comet EV,Standard,16.1,30,840,89,230,15.9,22.0,2,154.9,3.4339872044851463,2.827313621929028
Porsche,Taycan,Turbo S,75.4,560,2380,94,507,19.4,30.2,2,133.1,6.329720905522696,3.0155349008501706
Tata,Punch EV,Long Range,30.0,90,1355,91,421,15.8,38.5,1,380.6,4.51085950651685,2.8213788864092133
BYD,Seal,Performance,72.1,390,2150,94,580,19.1,25.9,1,551.0,5.968707559985366,3.0007198150650303
Audi,Q8 e-tron,55 quattro,88.7,300,2620,93,582,27.8,39.9,0,239.5,5.707110264748875,3.3603753871419
Tata,Curvv EV,Long Range,53.4,150,1780,92,585,28.1,16.3,0,534.2,5.017279836814924,3.370738174177447
BMW,iX,xDrive50,92.9,385,2590,94,635,26.8,36.4,2,194.3,5.955837369464831,3.3250360206965914
Tata,Curvv EV,Medium Range,43.6,120,1720,92,502,13.6,36.9,1,476.9,4.795790545596741,2.681021528714291
BMW,i5,eDrive40,70.2,250,2215,94,582,35.3,23.8,1,489.4,5.5254529391317835,3.591817741270805
Tata,Curvv EV,Medium Range,41.8,120,1720,92,502,34.1,36.4,1,162.1,4.795790545596741,3.55820113047182
MG,Comet EV,Standard,16.5,30,840,89,230,96.1,16.7,0,150.0,3.4339872044851463,4.575741375297279
Porsche,Taycan,Turbo S,74.9,560,2380,94,507,30.5,26.6,2,315.8,6.329720905522696,3.449987545831587
Citroen,eC3,Shine,29.0,57,1215,89,320,19.8,38.5,0,164.5,4.060443010546419,3.0349529867072724
Jaguar,I-PACE,EV400,79.6,294,2208,92,470,34.1,37.8,1,304.7,5.68697535633982,3.55820113047182
Rolls-Royce,Spectre,Standard,94.7,430,2975,94,530,27.6,13.8,2,380.9,6.066108090103747,3.353406717825807
BYD,Seal,Dynamic,56.1,150,1860,94,510,26.4,20.7,2,51.0,5.017279836814924,3.3105430133940246
Mercedes,EQS,580 4MATIC,99.7,385,2710,95,857,22.3,25.0,1,372.0,5.955837369464831,3.148453360571655
Kia,EV9,Long Range AWD,90.5,283,2630,93,561,21.2,21.9,2,86.7,5.648974238161206,3.100092288878234
Volvo,C40 Recharge,Single Motor,62.0,170,1990,92,476,36.2,41.4,0,347.3,5.14166355650266,3.616308761279101
MG,Windsor EV,Long Range,32.4,100,1490,91,331,25.8,21.3,2,170.5,4.61512051684126,3.288401887516811
Mahindra,XUV400,EC Pro,34.3,110,1560,90,375,36.1,36.4,2,103.7,4.709530201312334,3.6136169696133895
Tata,Tiago EV,Medium Range,17.9,45,1073,90,250,28.5,17.8,0,71.1,3.828641396489095,3.3843902633457743
Audi,Q8 e-tron,55 quattro,93.9,300,2620,93,582,88.5,41.0,1,315.9,5.707110264748875,4.4942386252808095
Toyota,Urban Cruiser EV,Long Range,53.1,144,1740,93,490,24.4,34.4,1,146.4,4.976733742420574,3.2347491740244907
Tata,Tiago EV,Long Range,22.3,55,1110,90,315,18.0,33.4,0,98.7,4.02535169073515,2.9444389791664403
BYD,Seal,Performance,76.8,390,2150,94,580,28.0,37.1,2,179.0,5.968707559985366,3.367295829986474
Tata,Tigor EV,Ziptron,24.6,55,1235,90,306,25.0,26.3,0,101.4,4.02535169073515,3.258096538021482
Maruti Suzuki,e Vitara,Medium Range,45.3,106,1620,93,400,25.3,24.5,1,162.4,4.672828834461906,3.269568939183719
MG,Windsor EV,Long Range,37.8,100,1490,91,331,110.8,20.3,1,141.4,4.61512051684126,4.716711560720999
Tata,Punch EV,Smart,23.5,60,1280,90,315,25.4,12.6,2,152.8,4.110873864173311,3.2733640101522705
Mercedes,EQA,250+,61.7,140,1960,92,528,17.0,35.0,2,501.6,4.948759890378168,2.8903717578961645
Hyundai,Ioniq 5,Long Range RWD,62.6,160,1980,93,631,27.8,28.7,0,137.5,5.081404364984463,3.3603753871419
BMW,i7,xDrive60,92.2,400,2720,94,625,17.8,27.9,2,229.4,5.993961427306569,2.9338568698359033
Tata,Tiago EV,Long Range,23.1,55,1110,90,315,31.4,29.6,0,62.7,4.02535169073515,3.4781584227982836
Tata,Curvv EV,Long Range,51.4,150,1780,92,585,87.0,40.8,0,297.9,5.017279836814924,4.477336814478207
MG,Cloud EV,Long Range,46.3,135,1700,91,460,33.7,37.1,2,173.9,4.912654885736052,3.5467396869528134
BMW,i5,eDrive40,79.0,250,2215,94,582,23.6,39.1,2,161.8,5.5254529391317835,3.202746442938317
BYD,e6,GL,63.5,70,2380,88,415,24.0,20.7,1,91.0,4.2626798770413155,3.2188758248682006
Mahindra,XUV400,EC Pro,33.2,110,1560,90,375,15.8,35.6,2,101.1,4.709530201312334,2.8213788864092133
Mercedes,EQA,250+,62.7,140,1960,92,528,21.8,34.9,2,408.8,4.948759890378168,3.126760535960395
Kia,EV9,Long Range AWD,98.6,283,2630,93,561,37.2,18.6,2,74.5,5.648974238161206,3.6428355156125294
Hyundai,Creta EV,Long Range,45.1,135,1690,92,473,22.1,19.2,0,189.5,4.912654885736052,3.139832617527748
Porsche,Taycan,4S,75.2,360,2295,94,512,24.6,24.0,2,79.1,5.8888779583328805,3.242592351485517
BYD,Atto 3,Standard Range,45.9,150,1690,92,410,50.3,16.0,0,353.8,5.017279836814924,3.937690752176724
Mercedes,EQS SUV,580 4MATIC,101.7,400,2880,94,660,19.2,16.0,0,109.0,5.993961427306569,3.005682604407159
BMW,i4,eDrive40,78.5,250,2125,94,590,74.8,30.5,2,235.7,5.5254529391317835,4.328098292648326
BYD,e6,GL,71.7,70,2380,88,415,37.6,23.7,2,58.3,4.2626798770413155,3.653252276470785
Mercedes,EQA,250+,63.7,140,1960,92,528,24.8,17.0,1,277.1,4.948759890378168,3.250374491927572
MG,Comet EV,Standard,17.1,30,840,89,230,26.0,19.2,1,218.5,3.4339872044851463,3.295836866004329
Citroen,eC3,Shine,26.8,57,1215,89,320,25.6,27.0,1,304.0,4.060443010546419,3.280911215787653
MG,Windsor EV,Long Range,37.8,100,1490,91,331,26.3,13.8,1,314.45,4.61512051684126,3.306886702190914
BMW,iX1,xDrive30,61.6,230,2080,93,440,28.4,30.8,1,418.0,5.442417710521793,3.380994674344636
Mahindra,BE 6,Long Range,58.1,175,1850,93,556,112.9,41.0,0,280.6,5.170483995038151,4.735320870453137
Audi,e-tron GT,RS,84.0,440,2420,94,481,15.2,38.0,2,237.9,6.089044875446846,2.785011242238338
BYD,Seal,Dynamic,52.6,150,1860,94,510,32.5,20.9,2,266.1,5.017279836814924,3.5115454388310208
Tata,Nexon EV,Long Range,34.8,105,1610,91,465,28.7,23.7,2,231.3,4.663439094112067,3.391147045808654
BYD,eMAX 7,Premium,70.9,150,2135,91,530,22.3,40.7,2,124.9,5.017279836814924,3.148453360571655
Tata,Nexon EV,Prime LR,39.3,105,1620,91,465,31.7,30.0,2,167.7,4.663439094112067,3.4873750779032076
Mahindra,BE 6,Long Range,58.1,175,1850,93,556,20.1,38.5,2,140.8,5.170483995038151,3.0492730404820207
Rolls-Royce,Spectre,Standard,99.9,430,2975,94,530,98.7,23.9,0,467.4,6.066108090103747,4.602165676967792
Mercedes,EQA,250+,63.1,140,1960,92,528,25.3,15.1,2,171.1,4.948759890378168,3.269568939183719
Citroen,eC3,Feel,24.9,57,1200,89,320,94.7,17.1,1,90.2,4.060443010546419,4.5612182984589085
Hyundai,Creta EV,Medium Range,39.6,110,1620,92,390,38.0,21.3,2,44.1,4.709530201312334,3.6635616461296463
Volvo,XC40 Recharge,Single Motor,59.7,170,2000,92,418,30.7,14.5,2,62.8,5.14166355650266,3.456316680883235
Hyundai,Creta EV,Long Range,46.0,135,1690,92,473,35.2,12.4,1,102.1,4.912654885736052,3.5890591188317256
Citroen,eC3,Feel,26.0,57,1200,89,320,16.9,21.4,2,130.7,4.060443010546419,2.884800712846709
Rolls-Royce,Spectre,Standard,89.5,430,2975,94,530,23.1,30.2,1,503.5,6.066108090103747,3.1822118404966093
BMW,i7,xDrive60,96.2,400,2720,94,625,19.2,41.0,2,338.7,5.993961427306569,3.005682604407159
Volvo,XC40 Recharge,Single Motor,67.8,170,2000,92,418,24.6,34.6,0,397.1,5.14166355650266,3.242592351485517
Smart,#1 Pro+,Standard,61.1,200,1820,92,440,25.8,24.5,2,234.1,5.303304908059076,3.288401887516811
MG,Comet EV,Standard,15.0,30,840,89,230,30.2,11.0,0,52.3,3.4339872044851463,3.4404180948154366
Jaguar,I-PACE,EV400,79.6,294,2208,92,470,116.8,40.4,0,218.8,5.68697535633982,4.768988271217486
Tata,Nexon EV,Prime LR,37.8,105,1620,91,465,90.3,20.8,2,83.6,4.663439094112067,4.514150787600923
Porsche,Taycan,Turbo S,73.4,560,2380,94,507,107.6,23.8,1,290.2,6.329720905522696,4.687671407499835
Kia,EV9,Long Range AWD,92.6,283,2630,93,561,21.6,19.1,2,56.1,5.648974238161206,3.1179499062782403
BMW,i7,xDrive60,101.4,400,2720,94,625,21.7,25.5,2,428.1,5.993961427306569,3.122364924487357
BYD,Atto 3,Standard Range,43.5,150,1690,92,410,23.6,19.1,1,326.5,5.017279836814924,3.202746442938317
Tata,Tigor EV,Ziptron,25.2,55,1235,90,306,27.7,25.9,1,85.5,4.02535169073515,3.3568971227655755
Tata,Sierra EV,Long Range,58.9,165,1900,92,480,31.0,17.5,0,113.5,5.111987788356544,3.4657359027997265
Smart,#1 Pro+,Standard,56.0,200,1820,92,440,87.6,38.9,0,241.0,5.303304908059076,4.484131857611035
Tata,Tiago EV,Medium Range,19.1,45,1073,90,250,21.6,21.3,2,184.9,3.828641396489095,3.1179499062782403
Volvo,C40 Recharge,Single Motor,60.1,170,1990,92,476,22.8,25.6,2,205.4,5.14166355650266,3.169685580677429
BMW,i4,eDrive40,80.7,250,2125,94,590,18.3,19.4,2,100.3,5.5254529391317835,2.9601050959108397
Tata,Tiago EV,Medium Range,17.5,45,1073,90,250,26.3,24.2,2,128.6,3.828641396489095,3.306886702190914
BMW,iX1,xDrive30,59.5,230,2080,93,440,17.7,13.2,1,418.0,5.442417710521793,2.928523523860541
Tata,Tiago EV,Long Range,23.8,55,1110,90,315,24.2,5.5,2,31.5,4.02535169073515,3.2268439945173775
Mercedes,EQS SUV,580 4MATIC,100.7,400,2880,94,660,39.9,16.3,1,139.6,5.993961427306569,3.7111300630487563
BYD,Seal,Dynamic,59.2,150,1860,94,510,23.2,26.6,2,246.7,5.017279836814924,3.186352633162641
Tata,Nexon EV,Medium Range,26.9,105,1560,91,325,50.1,35.5,1,128.6,4.663439094112067,3.933784497209659
Tata,Nexon EV,Long Range,37.6,105,1610,91,465,26.9,26.9,1,422.4,4.663439094112067,3.32862668882732
MG,Comet EV,Standard,16.8,30,840,89,230,18.6,20.8,2,183.3,3.4339872044851463,2.975529566236472
Volvo,C40 Recharge,Single Motor,66.9,170,1990,92,476,71.7,32.7,1,213.1,5.14166355650266,4.286341384539473
Mercedes,EQB,350 4MATIC,64.1,215,2175,92,423,30.4,23.5,0,401.85,5.375278407684165,3.4468078929142076
Rolls-Royce,Spectre,Standard,98.9,430,2975,94,530,91.1,16.6,0,503.5,6.066108090103747,4.522874943261261
Audi,Q8 e-tron,55 quattro,91.6,300,2620,93,582,18.8,13.4,0,235.6,5.707110264748875,2.9856819377004897
BMW,iX1,xDrive30,58.1,230,2080,93,440,32.0,34.4,1,94.3,5.442417710521793,3.4965075614664802
BYD,Atto 3,Extended Range,58.7,150,1750,92,521,78.8,28.8,2,280.0,5.017279836814924,4.379523504455763
Jaguar,I-PACE,EV400,72.5,294,2208,92,470,17.6,25.6,2,160.6,5.68697535633982,2.9231615807191558
Maruti Suzuki,e Vitara,Long Range,58.3,144,1710,93,500,88.0,36.1,0,356.4,4.976733742420574,4.48863636973214
Tata,Nexon EV,Medium Range,27.1,105,1560,91,325,29.4,13.8,2,32.5,4.663439094112067,3.414442608412176
Maruti Suzuki,e Vitara,Long Range,57.5,144,1710,93,500,57.2,26.2,1,395.8,4.976733742420574,4.063885354737392
MG,Cloud EV,Long Range,44.5,135,1700,91,460,20.4,27.5,1,141.3,4.912654885736052,3.0633909220278057
Audi,e-tron GT,RS,72.2,440,2420,94,481,23.1,34.3,2,48.1,6.089044875446846,3.1822118404966093
MG,ZS EV,Exclusive,49.5,130,1620,91,461,81.7,29.0,0,342.7,4.875197323201151,4.415219602029645
BMW,i5,eDrive40,81.0,250,2215,94,582,16.5,25.2,2,322.5,5.5254529391317835,2.8622008809294686
Tata,Punch EV,Long Range,31.0,90,1355,91,421,52.4,42.0,0,257.8,4.51085950651685,3.977810745966149
Mercedes,EQS SUV,580 4MATIC,106.8,400,2880,94,660,95.9,43.0,0,313.0,5.993961427306569,4.5736795188967205
BMW,iX,xDrive50,92.9,385,2590,94,635,29.7,27.1,2,319.4,5.955837369464831,3.4242626545931514
BMW,i5,eDrive40,69.3,250,2215,94,582,110.0,33.9,0,341.0,5.5254529391317835,4.709530201312334
Hyundai,Creta EV,Long Range,49.5,135,1690,92,473,23.5,28.9,2,261.0,4.912654885736052,3.1986731175506815
Mahindra,XEV 9e,Long Range,55.3,175,1900,93,542,39.8,9.8,0,79.4,5.170483995038151,3.708682081410116
Citroen,eC3,Feel,27.6,57,1200,89,320,13.3,14.3,2,137.9,4.060443010546419,2.6602595372658615
Mercedes,EQS SUV,580 4MATIC,104.6,400,2880,94,660,23.6,17.7,0,206.7,5.993961427306569,3.202746442938317
Mahindra,XUV400,EL Pro,35.0,110,1580,90,456,24.7,26.0,0,87.9,4.709530201312334,3.246490991901174
BYD,Atto 3,Extended Range,55.4,150,1750,92,521,25.1,31.1,1,494.95,5.017279836814924,3.261935314328648
BMW,i7,xDrive60,88.3,400,2720,94,625,36.3,27.9,2,103.6,5.993961427306569,3.6189933266497696
BYD,Atto 3,Standard Range,49.3,150,1690,92,410,34.2,10.5,1,287.9,5.017279836814924,3.5610460826040513
Tata,Sierra EV,Long Range,56.9,165,1900,92,480,36.0,29.1,1,85.3,5.111987788356544,3.6109179126442243
Kia,EV9,Long Range AWD,89.0,283,2630,93,561,31.6,40.9,2,131.5,5.648974238161206,3.484312288372662
Tata,Curvv EV,Medium Range,44.2,120,1720,92,502,15.1,37.2,2,287.7,4.795790545596741,2.7788192719904172
BYD,Seal,Performance,80.8,390,2150,94,580,14.5,38.2,2,141.8,5.968707559985366,2.740840023925201
Mahindra,XUV400,EL Pro,33.7,110,1580,90,456,31.9,17.3,0,99.3,4.709530201312334,3.493472657771326
BMW,iX1,xDrive30,56.2,230,2080,93,440,18.4,32.5,2,54.8,5.442417710521793,2.9652730660692823
BYD,Atto 3,Standard Range,46.9,150,1690,92,410,118.9,28.8,0,164.6,5.017279836814924,4.786658062033468
Hyundai,Creta EV,Long Range,44.3,135,1690,92,473,56.7,21.3,1,368.4,4.912654885736052,4.055257173514054
Hyundai,Ioniq 5,Long Range RWD,65.6,160,1980,93,631,32.8,34.3,2,215.3,5.081404364984463,3.520460802488973
Tata,Tiago EV,Long Range,23.6,55,1110,90,315,50.9,39.4,1,109.8,4.02535169073515,3.949318790171843
Hyundai,Creta EV,Long Range,46.3,135,1690,92,473,30.8,30.3,1,405.4,4.912654885736052,3.459466289786131
Kia,EV6,Long Range AWD,77.2,239,2140,93,708,35.0,25.3,0,145.4,5.480638923341991,3.58351893845611
Citroen,eC3,Feel,26.7,57,1200,89,320,23.6,29.5,2,126.5,4.060443010546419,3.202746442938317
Porsche,Taycan,4S,68.5,360,2295,94,512,20.4,15.3,1,110.9,5.8888779583328805,3.0633909220278057
Hyundai,Creta EV,Long Range,47.5,135,1690,92,473,20.0,25.5,1,269.1,4.912654885736052,3.044522437723423
Tata,Tiago EV,Long Range,22.0,55,1110,90,315,14.6,15.8,1,244.1,4.02535169073515,2.747270914255491
Audi,e-tron GT,RS,80.7,440,2420,94,481,31.6,38.1,2,145.4,6.089044875446846,3.484312288372662
Porsche,Taycan,Turbo S,73.9,560,2380,94,507,20.1,43.6,0,280.3,6.329720905522696,3.0492730404820207
MG,Cloud EV,Long Range,50.4,135,1700,91,460,31.5,14.2,2,271.9,4.912654885736052,3.481240089335692
Mahindra,XUV400,EL Pro,34.1,110,1580,90,456,32.2,36.8,2,57.5,4.709530201312334,3.502549875922443
BMW,i7,xDrive60,100.5,400,2720,94,625,20.6,16.8,1,187.7,5.993961427306569,3.0726933146901194
Rolls-Royce,Spectre,Standard,95.9,430,2975,94,530,34.5,30.6,2,294.2,6.066108090103747,3.56953269648137
Kia,EV6,Long Range RWD,67.9,168,1980,93,708,18.2,34.4,2,133.4,5.1298987149230735,2.9549102790337356
BMW,i5,eDrive40,71.0,250,2215,94,582,71.1,33.0,0,403.1,5.5254529391317835,4.278054044290903
Citroen,eC3,Feel,25.2,57,1200,89,320,92.4,23.3,0,143.5,4.060443010546419,4.536891345234797
Tata,Sierra EV,Long Range,51.9,165,1900,92,480,16.8,23.7,2,292.5,5.111987788356544,2.8791984572980396
BMW,iX,xDrive50,100.8,385,2590,94,635,97.8,33.7,1,343.3,5.955837369464831,4.593097604753822
Mercedes,EQS SUV,580 4MATIC,104.6,400,2880,94,660,112.3,44.0,1,151.6,5.993961427306569,4.730039168033961
BYD,Atto 3,Extended Range,57.8,150,1750,92,521,33.0,18.2,2,152.6,5.017279836814924,3.5263605246161616
MG,ZS EV,Exclusive,44.1,130,1620,91,461,32.3,33.0,0,102.6,4.875197323201151,3.505557396986398
Tata,Curvv EV,Long Range,49.7,150,1780,92,585,21.4,23.0,1,429.3,5.017279836814924,3.109060958860994
Porsche,Taycan,Turbo S,75.4,560,2380,94,507,21.0,21.6,1,77.6,6.329720905522696,3.091042453358316
Tata,Harrier EV,Long Range,56.9,165,1950,92,500,112.1,31.1,0,316.5,5.111987788356544,4.728272383122075
Volvo,C40 Recharge,Single Motor,61.5,170,1990,92,476,24.4,28.4,0,443.7,5.14166355650266,3.2347491740244907
BYD,eMAX 7,Premium,70.1,150,2135,91,530,30.2,24.3,1,432.8,5.017279836814924,3.4404180948154366
MG,Windsor EV,Long Range,35.6,100,1490,91,331,28.7,35.3,1,220.5,4.61512051684126,3.391147045808654
Mahindra,XUV400,EC Pro,33.3,110,1560,90,375,94.6,41.0,0,206.8,4.709530201312334,4.560172820057356
Tata,Nexon EV,Prime LR,35.5,105,1620,91,465,93.6,18.4,1,118.6,4.663439094112067,4.549657476057833
Tata,Punch EV,Smart,21.4,60,1280,90,315,27.7,26.0,0,102.9,4.110873864173311,3.3568971227655755
Tata,Nexon EV,Medium Range,28.0,105,1560,91,325,19.8,21.0,0,270.6,4.663439094112067,3.0349529867072724
Tata,Curvv EV,Medium Range,44.5,120,1720,92,502,22.5,37.1,2,104.3,4.795790545596741,3.157000421150113
BYD,Seal,Dynamic,54.8,150,1860,94,510,26.1,39.0,0,143.2,5.017279836814924,3.299533727885655
Tata,Curvv EV,Long Range,48.1,150,1780,92,585,30.5,20.5,1,140.0,5.017279836814924,3.449987545831587
Kia,EV6,Long Range AWD,67.9,239,2140,93,708,96.4,44.9,0,408.9,5.480638923341991,4.578826210648489
Kia,EV6,Long Range RWD,68.8,168,1980,93,708,16.5,19.5,1,672.6,5.1298987149230735,2.8622008809294686
Porsche,Taycan,Turbo S,74.4,560,2380,94,507,30.2,20.7,0,481.65,6.329720905522696,3.4404180948154366
Kia,EV6,Long Range AWD,70.0,239,2140,93,708,29.1,33.8,2,150.4,5.480638923341991,3.40452517175483
Tata,Tiago EV,Long Range,21.5,55,1110,90,315,58.4,36.3,1,97.6,4.02535169073515,4.084294226368599
BYD,eMAX 7,Premium,69.6,150,2135,91,530,20.3,13.1,2,53.0,5.017279836814924,3.0587070727153796
Tata,Nexon EV,Long Range,36.0,105,1610,91,465,29.4,19.1,2,54.8,4.663439094112067,3.414442608412176
Porsche,Taycan,Turbo S,81.4,560,2380,94,507,27.1,27.1,2,375.5,6.329720905522696,3.3357695763397
Mahindra,BE 6,Long Range,54.0,175,1850,93,556,39.5,24.6,0,101.6,5.170483995038151,3.7013019741124933
Citroen,eC3,Feel,28.1,57,1200,89,320,29.3,16.9,2,69.2,4.060443010546419,3.4111477125153233
Hyundai,Creta EV,Medium Range,35.7,110,1620,92,390,102.8,28.9,0,204.5,4.709530201312334,4.642465970731788
Mercedes,EQA,250+,58.3,140,1960,92,528,34.5,7.4,2,52.8,4.948759890378168,3.56953269648137
Tata,Tiago EV,Long Range,22.7,55,1110,90,315,12.8,18.5,2,119.2,4.02535169073515,2.624668592163159
Porsche,Taycan,4S,71.6,360,2295,94,512,26.0,23.9,1,283.1,5.8888779583328805,3.295836866004329
Smart,#1 Pro+,Standard,60.9,200,1820,92,440,71.8,27.9,1,286.6,5.303304908059076,4.28771595520264
Kia,EV9,Long Range AWD,99.2,283,2630,93,561,26.4,12.3,1,125.6,5.648974238161206,3.3105430133940246
Porsche,Taycan,Turbo S,76.4,560,2380,94,507,21.5,27.4,2,50.7,6.329720905522696,3.1135153092103742
Tata,Curvv EV,Long Range,49.2,150,1780,92,585,98.4,20.0,0,374.1,5.017279836814924,4.599152113662528
Hyundai,Creta EV,Medium Range,41.9,110,1620,92,390,14.4,39.0,2,87.2,4.709530201312334,2.7343675094195836
Hyundai,Ioniq 5,Long Range AWD,65.6,225,2100,93,631,24.3,41.4,2,154.3,5.420534999272286,3.2308043957334744
Porsche,Taycan,4S,69.0,360,2295,94,512,34.5,10.0,2,74.9,5.8888779583328805,3.56953269648137
Mercedes,EQB,350 4MATIC,59.3,215,2175,92,423,22.3,39.8,2,160.5,5.375278407684165,3.148453360571655
Tata,Nexon EV,Long Range,38.8,105,1610,91,465,38.9,10.1,0,441.75,4.663439094112067,3.686376323895818
Volvo,XC40 Recharge,Single Motor,62.0,170,2000,92,418,25.1,24.6,1,365.0,5.14166355650266,3.261935314328648
BYD,e6,GL,65.5,70,2380,88,415,79.4,16.8,0,394.25,4.2626798770413155,4.387014176184921
Porsche,Taycan,Turbo S,77.9,560,2380,94,507,94.0,39.6,0,464.0,6.329720905522696,4.553876891600541
