make,model,variant,battery_capacity_kWh,motor_power_kW,vehicle_weight_kg,motor_efficiency_pct,ARAI_certified_range_km,avg_driving_speed_kmh,ambient_temperature_C,traffic_condition,real_world_range_km
BYD,Atto 3,Standard Range,45.9,150,1690,92,410,50.3,16.0,0,353.8
Mercedes,EQS SUV,580 4MATIC,101.7,400,2880,94,660,19.2,16.0,0,109.0
BMW,i4,eDrive40,78.5,250,2125,94,590,74.8,30.5,2,235.7
BYD,e6,GL,71.7,70,2380,88,415,37.6,23.7,2,58.3
Mercedes,EQA,250+,63.7,140,1960,92,528,24.8,17.0,1,277.1
MG,Comet EV,Standard,17.1,30,840,89,230,26.0,19.2,1,218.5
Citroen,eC3,Shine,26.8,57,1215,89,320,25.6,27.0,1,304.0
MG,Windsor EV,Long Range,37.8,100,1490,91,331,26.3,13.8,1,314.45
BMW,iX1,xDrive30,61.6,230,2080,93,440,28.4,30.8,1,418.0
Mahindra,BE 6,Long Range,58.1,175,1850,93,556,112.9,41.0,0,280.6
Audi,e-tron GT,RS,84.0,440,2420,94,481,15.2,38.0,2,237.9
BYD,Seal,Dynamic,52.6,150,1860,94,510,32.5,20.9,2,266.1
Tata,Nexon EV,Long Range,34.8,105,1610,91,465,28.7,23.7,2,231.3
BYD,eMAX 7,Premium,70.9,150,2135,91,530,22.3,40.7,2,124.9
Tata,Nexon EV,Prime LR,39.3,105,1620,91,465,31.7,30.0,2,167.7
Mahindra,BE 6,Long Range,58.1,175,1850,93,556,20.1,38.5,2,140.8
Rolls-Royce,Spectre,Standard,99.9,430,2975,94,530,98.7,23.9,0,467.4
Mercedes,EQA,250+,63.1,140,1960,92,528,25.3,15.1,2,171.1
Citroen,eC3,Feel,24.9,57,1200,89,320,94.7,17.1,1,90.2
Hyundai,Creta EV,Medium Range,39.6,110,1620,92,390,38.0,21.3,2,44.1
Volvo,XC40 Recharge,Single Motor,59.7,170,2000,92,418,30.7,14.5,2,62.8
Hyundai,Creta EV,Long Range,46.0,135,1690,92,473,35.2,12.4,1,102.1
Citroen,eC3,Feel,26.0,57,1200,89,320,16.9,21.4,2,130.7
Rolls-Royce,Spectre,Standard,89.5,430,2975,94,530,23.1,30.2,1,503.5
BMW,i7,xDrive60,96.2,400,2720,94,625,19.2,41.0,2,338.7
Volvo,XC40 Recharge,Single Motor,67.8,170,2000,92,418,24.6,34.6,0,397.1
Smart,#1 Pro+,Standard,61.1,200,1820,92,440,25.8,24.5,2,234.1
MG,Comet EV,Standard,15.0,30,840,89,230,30.2,11.0,0,52.3
Jaguar,I-PACE,EV400,79.6,294,2208,92,470,116.8,40.4,0,218.8
Tata,Nexon EV,Prime LR,37.8,105,1620,91,465,90.3,20.8,2,83.6
Porsche,Taycan,Turbo S,73.4,560,2380,94,507,107.6,23.8,1,290.2
Kia,EV9,Long Range AWD,92.6,283,2630,93,561,21.6,19.1,2,56.1
BMW,i7,xDrive60,101.4,400,2720,94,625,21.7,25.5,2,428.1
BYD,Atto 3,Standard Range,43.5,150,1690,92,410,23.6,19.1,1,326.5
Tata,Tigor EV,Ziptron,25.2,55,1235,90,306,27.7,25.9,1,85.5
Tata,Sierra EV,Long Range,58.9,165,1900,92,480,31.0,17.5,0,113.5
Smart,#1 Pro+,Standard,56.0,200,1820,92,440,87.6,38.9,0,241.0
Tata,Tiago EV,Medium Range,19.1,45,1073,90,250,21.6,21.3,2,184.9
Volvo,C40 Recharge,Single Motor,60.1,170,1990,92,476,22.8,25.6,2,205.4
BMW,i4,eDrive40,80.7,250,2125,94,590,18.3,19.4,2,100.3
Tata,Tiago EV,Medium Range,17.5,45,1073,90,250,26.3,24.2,2,128.6
BMW,iX1,xDrive30,59.5,230,2080,93,440,17.7,13.2,1,418.0
Tata,Tiago EV,Long Range,23.8,55,1110,90,315,24.2,5.5,2,31.5
Mercedes,EQS SUV,580 4MATIC,100.7,400,2880,94,660,39.9,16.3,1,139.6
BYD,Seal,Dynamic,59.2,150,1860,94,510,23.2,26.6,2,246.7
Tata,Nexon EV,Medium Range,26.9,105,1560,91,325,50.1,35.5,1,128.6
Tata,Nexon EV,Long Range,37.6,105,1610,91,465,26.9,26.9,1,422.4
MG,Comet EV,Standard,16.8,30,840,89,230,18.6,20.8,2,183.3
Volvo,C40 Recharge,Single Motor,66.9,170,1990,92,476,71.7,32.7,1,213.1
Mercedes,EQB,350 4MATIC,64.1,215,2175,92,423,30.4,23.5,0,401.85
Rolls-Royce,Spectre,Standard,98.9,430,2975,94,530,91.1,16.6,0,503.5
Audi,Q8 e-tron,55 quattro,91.6,300,2620,93,582,18.8,13.4,0,235.6
BMW,iX1,xDrive30,58.1,230,2080,93,440,32.0,34.4,1,94.3
BYD,Atto 3,Extended Range,58.7,150,1750,92,521,78.8,28.8,2,280.0
Jaguar,I-PACE,EV400,72.5,294,2208,92,470,17.6,25.6,2,160.6
Maruti Suzuki,e Vitara,Long Range,58.3,144,1710,93,500,88.0,36.1,0,356.4
Tata,Nexon EV,Medium Range,27.1,105,1560,91,325,29.4,13.8,2,32.5
Maruti Suzuki,e Vitara,Long Range,57.5,144,1710,93,500,57.2,26.2,1,395.8
MG,Cloud EV,Long Range,44.5,135,1700,91,460,20.4,27.5,1,141.3
Audi,e-tron GT,RS,72.2,440,2420,94,481,23.1,34.3,2,48.1
MG,ZS EV,Exclusive,49.5,130,1620,91,461,81.7,29.0,0,342.7
BMW,i5,eDrive40,81.0,250,2215,94,582,16.5,25.2,2,322.5
Tata,Punch EV,Long Range,31.0,90,1355,91,421,52.4,42.0,0,257.8
Mercedes,EQS SUV,580 4MATIC,106.8,400,2880,94,660,95.9,43.0,0,313.0
BMW,iX,xDrive50,92.9,385,2590,94,635,29.7,27.1,2,319.4
BMW,i5,eDrive40,69.3,250,2215,94,582,110.0,33.9,0,341.0
Hyundai,Creta EV,Long Range,49.5,135,1690,92,473,23.5,28.9,2,261.0
Mahindra,XEV 9e,Long Range,55.3,175,1900,93,542,39.8,9.8,0,79.4
Citroen,eC3,Feel,27.6,57,1200,89,320,13.3,14.3,2,137.9
Mercedes,EQS SUV,580 4MATIC,104.6,400,2880,94,660,23.6,17.7,0,206.7
Mahindra,XUV400,EL Pro,35.0,110,1580,90,456,24.7,26.0,0,87.9
BYD,Atto 3,Extended Range,55.4,150,1750,92,521,25.1,31.1,1,494.95
BMW,i7,xDrive60,88.3,400,2720,94,625,36.3,27.9,2,103.6
BYD,Atto 3,Standard Range,49.3,150,1690,92,410,34.2,10.5,1,287.9
Tata,Sierra EV,Long Range,56.9,165,1900,92,480,36.0,29.1,1,85.3
Kia,EV9,Long Range AWD,89.0,283,2630,93,561,31.6,40.9,2,131.5
Tata,Curvv EV,Medium Range,44.2,120,1720,92,502,15.1,37.2,2,287.7
BYD,Seal,Performance,80.8,390,2150,94,580,14.5,38.2,2,141.8
Mahindra,XUV400,EL Pro,33.7,110,1580,90,456,31.9,17.3,0,99.3
BMW,iX1,xDrive30,56.2,230,2080,93,440,18.4,32.5,2,54.8
BYD,Atto 3,Standard Range,46.9,150,1690,92,410,118.9,28.8,0,164.6
Hyundai,Creta EV,Long Range,44.3,135,1690,92,473,56.7,21.3,1,368.4
Hyundai,Ioniq 5,Long Range RWD,65.6,160,1980,93,631,32.8,34.3,2,215.3
Tata,Tiago EV,Long Range,23.6,55,1110,90,315,50.9,39.4,1,109.8
Hyundai,Creta EV,Long Range,46.3,135,1690,92,473,30.8,30.3,1,405.4
Kia,EV6,Long Range AWD,77.2,239,2140,93,708,35.0,25.3,0,145.4
Citroen,eC3,Feel,26.7,57,1200,89,320,23.6,29.5,2,126.5
Porsche,Taycan,4S,68.5,360,2295,94,512,20.4,15.3,1,110.9
Hyundai,Creta EV,Long Range,47.5,135,1690,92,473,20.0,25.5,1,269.1
Tata,Tiago EV,Long Range,22.0,55,1110,90,315,14.6,15.8,1,244.1
Audi,e-tron GT,RS,80.7,440,2420,94,481,31.6,38.1,2,145.4
Porsche,Taycan,Turbo S,73.9,560,2380,94,507,20.1,43.6,0,280.3
MG,Cloud EV,Long Range,50.4,135,1700,91,460,31.5,14.2,2,271.9
Mahindra,XUV400,EL Pro,34.1,110,1580,90,456,32.2,36.8,2,57.5
BMW,i7,xDrive60,100.5,400,2720,94,625,20.6,16.8,1,187.7
Rolls-Royce,Spectre,Standard,95.9,430,2975,94,530,34.5,30.6,2,294.2
Kia,EV6,Long Range RWD,67.9,168,1980,93,708,18.2,34.4,2,133.4
BMW,i5,eDrive40,71.0,250,2215,94,582,71.1,33.0,0,403.1
Citroen,eC3,Feel,25.2,57,1200,89,320,92.4,23.3,0,143.5
Tata,Sierra EV,Long Range,51.9,165,1900,92,480,16.8,23.7,2,292.5
BMW,iX,xDrive50,100.8,385,2590,94,635,97.8,33.7,1,343.3
Mercedes,EQS SUV,580 4MATIC,104.6,400,2880,94,660,112.3,44.0,1,151.6
BYD,Atto 3,Extended Range,57.8,150,1750,92,521,33.0,18.2,2,152.6
MG,ZS EV,Exclusive,44.1,130,1620,91,461,32.3,33.0,0,102.6
Tata,Curvv EV,Long Range,49.7,150,1780,92,585,21.4,23.0,1,429.3
Porsche,Taycan,Turbo S,75.4,560,2380,94,507,21.0,21.6,1,77.6
Tata,Harrier EV,Long Range,56.9,165,1950,92,500,112.1,31.1,0,316.5
Volvo,C40 Recharge,Single Motor,61.5,170,1990,92,476,24.4,28.4,0,443.7
BYD,eMAX 7,Premium,70.1,150,2135,91,530,30.2,24.3,1,432.8
MG,Windsor EV,Long Range,35.6,100,1490,91,331,28.7,35.3,1,220.5
Mahindra,XUV400,EC Pro,33.3,110,1560,90,375,94.6,41.0,0,206.8
Tata,Nexon EV,Prime LR,35.5,105,1620,91,465,93.6,18.4,1,118.6
Tata,Punch EV,Smart,21.4,60,1280,90,315,27.7,26.0,0,102.9
Tata,Nexon EV,Medium Range,28.0,105,1560,91,325,19.8,21.0,0,270.6
Tata,Curvv EV,Medium Range,44.5,120,1720,92,502,22.5,37.1,2,104.3
BYD,Seal,Dynamic,54.8,150,1860,94,510,26.1,39.0,0,143.2
Tata,Curvv EV,Long Range,48.1,150,1780,92,585,30.5,20.5,1,140.0
Kia,EV6,Long Range AWD,67.9,239,2140,93,708,96.4,44.9,0,408.9
Kia,EV6,Long Range RWD,68.8,168,1980,93,708,16.5,19.5,1,672.6
Porsche,Taycan,Turbo S,74.4,560,2380,94,507,30.2,20.7,0,481.65
Kia,EV6,Long Range AWD,70.0,239,2140,93,708,29.1,33.8,2,150.4
Tata,Tiago EV,Long Range,21.5,55,1110,90,315,58.4,36.3,1,97.6
BYD,eMAX 7,Premium,69.6,150,2135,91,530,20.3,13.1,2,53.0
Tata,Nexon EV,Long Range,36.0,105,1610,91,465,29.4,19.1,2,54.8
Porsche,Taycan,Turbo S,81.4,560,2380,94,507,27.1,27.1,2,375.5
Mahindra,BE 6,Long Range,54.0,175,1850,93,556,39.5,24.6,0,101.6
Citroen,eC3,Feel,28.1,57,1200,89,320,29.3,16.9,2,69.2
Hyundai,Creta EV,Medium Range,35.7,110,1620,92,390,102.8,28.9,0,204.5
Mercedes,EQA,250+,58.3,140,1960,92,528,34.5,7.4,2,52.8
Tata,Tiago EV,Long Range,22.7,55,1110,90,315,12.8,18.5,2,119.2
Porsche,Taycan,4S,71.6,360,2295,94,512,26.0,23.9,1,283.1
Smart,#1 Pro+,Standard,60.9,200,1820,92,440,71.8,27.9,1,286.6
Kia,EV9,Long Range AWD,99.2,283,2630,93,561,26.4,12.3,1,125.6
Porsche,Taycan,Turbo S,76.4,560,2380,94,507,21.5,27.4,2,50.7
Tata,Curvv EV,Long Range,49.2,150,1780,92,585,98.4,20.0,0,374.1
Hyundai,Creta EV,Medium Range,41.9,110,1620,92,390,14.4,39.0,2,87.2
Hyundai,Ioniq 5,Long Range AWD,65.6,225,2100,93,631,24.3,41.4,2,154.3
Porsche,Taycan,4S,69.0,360,2295,94,512,34.5,10.0,2,74.9
Mercedes,EQB,350 4MATIC,59.3,215,2175,92,423,22.3,39.8,2,160.5
Tata,Nexon EV,Long Range,38.8,105,1610,91,465,38.9,10.1,0,441.75
Volvo,XC40 Recharge,Single Motor,62.0,170,2000,92,418,25.1,24.6,1,365.0
BYD,e6,GL,65.5,70,2380,88,415,79.4,16.8,0,394.25
Porsche,Taycan,Turbo S,77.9,560,2380,94,507,94.0,39.6,0,464.0
Mercedes,EQA,250+,66.1,140,1960,92,528,73.6,28.1,0,501.6
Hyundai,Ioniq 5,Long Range RWD,68.9,160,1980,93,631,88.3,28.4,2,210.2
MG,Cloud EV,Long Range,45.3,135,1700,91,460,24.9,21.3,1,419.2
Mercedes,EQA,250+,59.3,140,1960,92,528,28.2,39.8,0,501.6
Hyundai,Ioniq 5,Long Range RWD,71.9,160,1980,93,631,98.6,28.7,0,464.0
MG,ZS EV,Excite,39.2,130,1590,91,400,30.6,39.5,2,87.9
MG,ZS EV,Excite,39.0,130,1590,91,400,59.2,43.6,1,310.0
Citroen,eC3,Feel,28.3,57,1200,89,320,18.5,26.8,1,85.3
Hyundai,Ioniq 5,Long Range AWD,66.1,225,2100,93,631,12.2,34.3,2,174.4
BMW,i5,eDrive40,74.9,250,2215,94,582,85.5,29.4,0,366.5
Tata,Harrier EV,Long Range,55.3,165,1950,92,500,23.8,38.2,2,85.6
BYD,Atto 3,Extended Range,54.0,150,1750,92,521,16.2,41.4,2,150.0
Audi,e-tron,55 quattro,74.3,300,2595,92,484,23.6,28.7,2,53.1
Tata,Nexon EV,Long Range,36.4,105,1610,91,465,27.6,41.0,2,136.8
Rolls-Royce,Spectre,Standard,91.6,430,2975,94,530,21.5,15.3,1,94.4
Rolls-Royce,Spectre,Standard,94.0,430,2975,94,530,16.6,11.7,2,59.5
BYD,eMAX 7,Premium,70.1,150,2135,91,530,19.7,20.4,1,131.7
Mahindra,XUV400,EL Pro,36.8,110,1580,90,456,27.6,40.7,2,108.3
Mahindra,BE 6,Long Range,59.2,175,1850,93,556,22.1,27.2,2,55.6
Kia,EV9,Long Range AWD,92.0,283,2630,93,561,56.9,28.9,0,442.1
Mercedes,EQS,580 4MATIC,92.3,385,2710,95,857,23.3,15.3,2,314.3
Kia,EV9,Long Range AWD,98.0,283,2630,93,561,16.6,20.5,2,245.4
MG,ZS EV,Exclusive,45.3,130,1620,91,461,72.2,42.7,0,278.3
Kia,EV6,Long Range RWD,68.6,168,1980,93,708,31.7,31.0,2,506.6
MG,ZS EV,Exclusive,49.8,130,1620,91,461,29.0,31.3,0,215.5
Hyundai,Creta EV,Medium Range,39.0,110,1620,92,390,30.0,12.7,0,80.5
Tata,Nexon EV,Medium Range,28.5,105,1560,91,325,22.6,39.8,2,55.3
Tata,Punch EV,Long Range,31.9,90,1355,91,421,39.1,23.7,2,95.4
BYD,Atto 3,Extended Range,56.0,150,1750,92,521,15.5,27.8,2,394.0
Tata,Punch EV,Long Range,30.5,90,1355,91,421,27.2,41.9,2,77.2
Porsche,Taycan,4S,67.8,360,2295,94,512,33.1,19.0,2,139.1
Porsche,Taycan,Turbo S,72.1,560,2380,94,507,34.1,30.6,2,51.9
Kia,EV6,Long Range RWD,72.5,168,1980,93,708,17.8,12.5,0,210.8
Mahindra,XUV400,EL Pro,36.2,110,1580,90,456,37.0,37.8,1,212.8
Tata,Curvv EV,Medium Range,40.3,120,1720,92,502,116.6,31.2,1,175.3
Kia,EV6,Long Range AWD,69.5,239,2140,93,708,29.0,22.7,0,122.7
Mahindra,XUV400,EC Pro,32.1,110,1560,90,375,20.2,21.8,2,92.2
MG,Cloud EV,Long Range,45.3,135,1700,91,460,22.4,28.7,1,437.0
BYD,e6,GL,69.1,70,2380,88,415,28.7,45.8,2,163.9
Audi,e-tron,55 quattro,81.3,300,2595,92,484,87.7,28.5,0,271.7
Volvo,XC40 Recharge,Twin Motor,74.3,300,2170,92,438,32.9,23.8,2,63.0
Tata,Tigor EV,Ziptron,23.8,55,1235,90,306,111.5,26.0,0,107.6
Hyundai,Creta EV,Medium Range,36.5,110,1620,92,390,23.3,35.5,2,186.8
Hyundai,Creta EV,Long Range,50.8,135,1690,92,473,33.2,27.2,0,104.5
MG,ZS EV,Exclusive,44.7,130,1620,91,461,99.9,31.9,1,176.1
Maruti Suzuki,e Vitara,Medium Range,47.4,106,1620,93,400,27.1,30.9,1,271.6
BYD,Seal,Dynamic,52.9,150,1860,94,510,17.9,39.4,2,324.3
Audi,e-tron GT,RS,81.0,440,2420,94,481,25.9,29.3,2,86.0
Tata,Curvv EV,Long Range,48.7,150,1780,92,585,56.1,17.3,1,358.1
Tata,Curvv EV,Long Range,47.1,150,1780,92,585,37.2,17.7,0,94.3
Volvo,XC40 Recharge,Single Motor,63.6,170,2000,92,418,25.4,12.0,2,41.8
Kia,EV6,Long Range AWD,68.8,239,2140,93,708,80.0,38.3,0,421.9
Maruti Suzuki,e Vitara,Medium Range,46.8,106,1620,93,400,46.3,21.3,0,380.0
Mahindra,XUV400,EC Pro,31.6,110,1560,90,375,24.7,20.6,2,44.8
BYD,Atto 3,Standard Range,46.9,150,1690,92,410,14.5,34.3,2,99.9
MG,Windsor EV,Long Range,35.6,100,1490,91,331,100.0,19.2,1,169.5
Rolls-Royce,Spectre,Standard,98.3,430,2975,94,530,27.1,33.0,1,503.5
BYD,eMAX 7,Premium,63.4,150,2135,91,530,16.0,32.7,1,134.1
Tata,Tiago EV,Medium Range,18.5,45,1073,90,250,22.7,24.3,1,88.8
Citroen,eC3,Feel,25.5,57,1200,89,320,19.9,20.3,2,54.5
Maruti Suzuki,e Vitara,Long Range,59.2,144,1710,93,500,20.1,31.7,2,274.6
Mahindra,XEV 9e,Long Range,58.3,175,1900,93,542,23.0,31.9,2,246.8
Tata,Sierra EV,Long Range,53.7,165,1900,92,480,15.2,23.5,1,102.3
Mercedes,EQA,250+,58.1,140,1960,92,528,28.0,21.4,2,178.6
Audi,Q8 e-tron,55 quattro,89.0,300,2620,93,582,38.7,15.5,1,430.3
Mercedes,EQS SUV,580 4MATIC,99.4,400,2880,94,660,33.3,23.1,1,436.8
MG,Windsor EV,Long Range,37.5,100,1490,91,331,25.4,34.7,2,70.5
Tata,Punch EV,Long Range,33.4,90,1355,91,421,20.1,24.8,1,143.4
Tata,Punch EV,Long Range,32.1,90,1355,91,421,22.7,12.4,1,55.0
MG,Cloud EV,Long Range,44.2,135,1700,91,460,21.1,37.9,0,282.3
Jaguar,I-PACE,EV400,74.5,294,2208,92,470,18.2,39.0,1,222.7
Kia,EV6,Long Range AWD,68.1,239,2140,93,708,24.2,23.1,1,672.6
Mahindra,BE 6,Long Range,54.9,175,1850,93,556,23.4,25.4,2,295.9
Tata,Tiago EV,Medium Range,18.5,45,1073,90,250,85.0,28.2,0,153.8
MG,Windsor EV,Long Range,33.4,100,1490,91,331,32.9,38.6,0,152.3
Maruti Suzuki,e Vitara,Medium Range,46.4,106,1620,93,400,47.4,30.9,1,380.0
BYD,Seal,Dynamic,55.5,150,1860,94,510,15.9,25.5,2,277.0
Citroen,eC3,Feel,28.2,57,1200,89,320,98.0,39.0,0,141.0
BYD,Seal,Performance,80.5,390,2150,94,580,33.7,23.9,2,58.0
Hyundai,Ioniq 5,Long Range AWD,66.5,225,2100,93,631,31.6,39.2,2,392.7
Tata,Curvv EV,Medium Range,44.9,120,1720,92,502,58.2,10.5,1,382.4
Mahindra,XEV 9e,Long Range,54.2,175,1900,93,542,22.7,25.9,2,331.1
Tata,Punch EV,Long Range,32.6,90,1355,91,421,28.9,36.7,1,116.4
Mahindra,BE 6,Long Range,54.9,175,1850,93,556,35.1,16.7,0,528.1999999999999
BYD,eMAX 7,Premium,67.7,150,2135,91,530,33.0,40.4,0,503.5
Tata,Nexon EV,Medium Range,27.8,105,1560,91,325,32.9,32.8,2,147.0
Porsche,Taycan,4S,77.3,360,2295,94,512,17.5,24.0,2,463.8
Maruti Suzuki,e Vitara,Long Range,53.7,144,1710,93,500,49.2,27.7,1,405.0
Mercedes,EQS,580 4MATIC,106.8,385,2710,95,857,30.9,33.8,2,363.7
Tata,Curvv EV,Long Range,47.6,150,1780,92,585,111.5,39.4,1,220.9
Tata,Nexon EV,Long Range,39.5,105,1610,91,465,31.7,22.5,2,336.2
BYD,Atto 3,Extended Range,56.7,150,1750,92,521,87.9,39.0,1,459.0
Mercedes,EQB,350 4MATIC,63.3,215,2175,92,423,23.5,20.1,0,172.1
Tata,Nexon EV,Medium Range,29.5,105,1560,91,325,22.7,32.2,0,128.8
Mahindra,BE 6,Long Range,53.2,175,1850,93,556,20.6,21.6,2,88.8
Mahindra,BE 6,Long Range,58.0,175,1850,93,556,34.1,12.9,1,433.8
BYD,Seal,Performance,70.6,390,2150,94,580,33.9,35.9,0,551.0
BYD,Seal,Performance,80.0,390,2150,94,580,82.1,22.5,0,551.0
Tata,Curvv EV,Long Range,50.9,150,1780,92,585,18.7,14.5,1,416.5
Volvo,XC40 Recharge,Twin Motor,68.0,300,2170,92,438,21.7,29.1,0,113.2
Tata,Harrier EV,Long Range,58.4,165,1950,92,500,22.7,29.8,0,116.0
Smart,#1 Pro+,Standard,54.6,200,1820,92,440,25.9,42.0,0,240.3
Maruti Suzuki,e Vitara,Long Range,59.2,144,1710,93,500,22.4,27.0,2,56.4
MG,ZS EV,Excite,38.5,130,1590,91,400,28.4,31.3,1,152.8
Citroen,eC3,Feel,27.4,57,1200,89,320,13.2,35.2,1,81.0
Mercedes,EQA,250+,61.9,140,1960,92,528,30.9,31.2,0,501.6
BYD,Seal,Performance,76.1,390,2150,94,580,25.1,34.2,2,85.7
BYD,Atto 3,Standard Range,43.8,150,1690,92,410,21.6,35.0,2,208.9
Mahindra,XUV.e8,Long Range,55.1,175,2050,92,450,34.3,29.0,2,346.0
BYD,Atto 3,Standard Range,43.8,150,1690,92,410,117.2,43.9,0,125.2
Rolls-Royce,Spectre,Standard,99.2,430,2975,94,530,43.7,44.6,2,235.2
BMW,i7,xDrive60,88.6,400,2720,94,625,38.7,24.3,0,240.3
BYD,Seal,Performance,80.8,390,2150,94,580,25.3,22.5,0,112.6
BYD,Atto 3,Extended Range,59.4,150,1750,92,521,17.7,37.0,2,179.4
Tata,Tigor EV,Ziptron,22.7,55,1235,90,306,28.8,12.3,2,30.6
Tata,Sierra EV,Long Range,57.1,165,1900,92,480,29.8,16.6,1,102.1
Rolls-Royce,Spectre,Standard,92.2,430,2975,94,530,33.6,37.9,1,423.8
Smart,#1 Pro+,Standard,56.8,200,1820,92,440,35.8,16.4,0,169.2
Rolls-Royce,Spectre,Standard,101.4,430,2975,94,530,86.3,26.4,2,335.4
Tata,Tiago EV,Medium Range,16.7,45,1073,90,250,18.0,18.4,1,237.5
Tata,Tiago EV,Long Range,22.1,55,1110,90,315,94.7,15.6,1,96.3
BMW,iX,xDrive50,98.9,385,2590,94,635,20.0,34.0,2,221.8
Mercedes,EQA,250+,59.9,140,1960,92,528,109.7,28.9,0,501.6
BYD,e6,GL,61.4,70,2380,88,415,31.9,28.7,2,107.7
BMW,i7,xDrive60,93.5,400,2720,94,625,85.3,16.7,2,222.8
Tata,Nexon EV,Long Range,39.2,105,1610,91,465,87.5,22.1,0,379.9
Kia,EV9,Long Range AWD,87.5,283,2630,93,561,23.2,17.7,1,379.8
Toyota,Urban Cruiser EV,Long Range,55.9,144,1740,93,490,38.4,25.4,0,97.7
BYD,eMAX 7,Premium,68.4,150,2135,91,530,83.8,32.8,0,335.2
Mercedes,EQA,250+,60.9,140,1960,92,528,19.9,23.1,2,120.0
Volvo,XC40 Recharge,Twin Motor,72.5,300,2170,92,438,16.8,16.6,2,339.7
Maruti Suzuki,e Vitara,Long Range,59.5,144,1710,93,500,26.0,27.8,2,221.0
Citroen,eC3,Feel,29.0,57,1200,89,320,20.4,27.4,2,190.6
Mahindra,XUV400,EL Pro,35.0,110,1580,90,456,82.6,41.5,0,223.3
Hyundai,Creta EV,Long Range,48.3,135,1690,92,473,22.7,12.8,1,57.7
Mahindra,XUV400,EL Pro,35.5,110,1580,90,456,19.2,12.8,0,93.8
Mahindra,XUV400,EL Pro,38.1,110,1580,90,456,22.8,7.0,1,59.2
BMW,iX1,xDrive30,58.1,230,2080,93,440,16.1,29.4,2,418.0
Tata,Harrier EV,Long Range,58.4,165,1950,92,500,32.0,24.2,1,91.1
Tata,Tiago EV,Medium Range,17.5,45,1073,90,250,21.5,22.4,1,207.3
Tata,Curvv EV,Long Range,49.1,150,1780,92,585,31.6,26.4,0,108.2
BMW,i4,eDrive40,70.8,250,2125,94,590,110.4,39.6,1,201.5
Tata,Tiago EV,Medium Range,18.9,45,1073,90,250,48.1,41.0,0,184.1
Tata,Curvv EV,Long Range,51.0,150,1780,92,585,28.6,29.6,2,96.1
Mahindra,XUV.e8,Long Range,56.2,175,2050,92,450,27.4,19.7,2,351.4
BMW,i5,eDrive40,80.0,250,2215,94,582,20.6,12.6,2,317.1
Hyundai,Ioniq 5,Long Range AWD,72.4,225,2100,93,631,23.0,31.1,0,159.0
Mercedes,EQS,580 4MATIC,94.2,385,2710,95,857,75.4,18.2,0,536.8
Mahindra,XEV 9e,Long Range,51.2,175,1900,93,542,56.9,18.5,0,448.2
Volvo,XC40 Recharge,Single Motor,59.9,170,2000,92,418,23.8,8.5,1,47.8
Kia,EV6,Long Range AWD,72.3,239,2140,93,708,21.2,15.1,2,122.4
Audi,e-tron GT,RS,81.7,440,2420,94,481,93.2,36.5,0,340.9
Tata,Curvv EV,Long Range,48.2,150,1780,92,585,19.4,36.2,1,236.8
Maruti Suzuki,e Vitara,Medium Range,45.2,106,1620,93,400,20.9,27.8,0,380.0
Citroen,eC3,Feel,26.0,57,1200,89,320,24.4,40.4,2,63.5
Citroen,eC3,Shine,28.0,57,1215,89,320,41.8,44.2,1,216.6
Toyota,Urban Cruiser EV,Long Range,55.3,144,1740,93,490,26.1,23.4,2,294.1
Hyundai,Ioniq 5,Long Range AWD,63.7,225,2100,93,631,24.4,13.7,1,548.8
Mercedes,EQS,580 4MATIC,94.5,385,2710,95,857,20.1,11.3,2,85.7
Kia,EV9,Long Range AWD,97.1,283,2630,93,561,93.8,17.6,0,389.1
Mercedes,EQS,580 4MATIC,105.5,385,2710,95,857,31.4,34.8,1,580.0
Smart,#1 Pro+,Standard,57.5,200,1820,92,440,26.8,16.1,1,49.2
BYD,Seal,Dynamic,53.8,150,1860,94,510,17.9,12.8,2,51.0
MG,ZS EV,Excite,42.6,130,1590,91,400,14.8,40.9,2,100.2
Hyundai,Creta EV,Long Range,50.9,135,1690,92,473,16.2,34.1,1,449.35
Porsche,Taycan,4S,78.5,360,2295,94,512,103.1,23.6,0,486.4
Tata,Tiago EV,Long Range,23.3,55,1110,90,315,16.1,30.2,2,57.0
Kia,EV6,Long Range RWD,74.4,168,1980,93,708,25.3,40.8,1,502.1
Tata,Nexon EV,Medium Range,29.2,105,1560,91,325,26.7,34.5,2,88.2
Mercedes,EQS,580 4MATIC,102.0,385,2710,95,857,21.5,38.1,1,518.9
BYD,eMAX 7,Premium,69.0,150,2135,91,530,97.0,29.8,2,106.2
Mercedes,EQS SUV,580 4MATIC,100.4,400,2880,94,660,22.3,19.4,1,140.4
BYD,Atto 3,Standard Range,45.7,150,1690,92,410,38.6,10.7,2,41.0
Toyota,Urban Cruiser EV,Long Range,60.3,144,1740,93,490,36.9,27.6,2,82.3
Mini,Countryman E,ALL4,62.3,230,2055,93,462,29.8,12.6,0,88.6
Tata,Curvv EV,Medium Range,39.9,120,1720,92,502,25.1,22.6,1,331.7
Tata,Sierra EV,Long Range,59.8,165,1900,92,480,18.3,28.0,0,128.2
Audi,e-tron,55 quattro,80.8,300,2595,92,484,17.6,10.8,2,156.3
Mercedes,EQS,580 4MATIC,102.0,385,2710,95,857,80.0,31.4,2,292.9
